objectID,name,address,lat,lon,loop,code
1,COLLEGE/BAYSIDE,225 NE 3RD ST,25.77758,-80.18992,"Bricell, Omni, Inner",2
2,FIRST STREET,225 NE 1ST ST,25.77573,-80.18985,"Bricell, Omni, Inner",2
3,BAYFRONT PARK,150 S BISCAYNE BLVD,25.7731,-80.18732,"Bricell, Omni, Inner",2
4,KNIGHT CENTER,100 SE 2ND ST,25.77187,-80.19138,"Bricell, Omni, Inner",2
5,MIAMI AVENUE,90 S MIAMI AVE,25.77339,-80.19358,Inner,4
6,THIRD STREET,250 S MIAMI AVE,25.77202,-80.19351,"Brickell, Omni",2
7,GOVERNMENT CENTER,101 NW 1ST ST,25.77586,-80.19609,"Bricell, Omni, Inner",2
8,"WILKIE D. FERGUSON, JR.",90 NW 5TH ST,25.77882,-80.19534,"Bricell, Omni, Inner",2
9,COLLEGE NORTH,100 NE 5TH ST,25.77893,-80.19209,"Bricell, Omni, Inner",2
10,SCHOOL BOARD,50 NE 15TH ST,25.78938,-80.19315,Omni,1
11,ADRIENNE ARSHT CENTER,1455 BISCAYNE BLVD,25.78946,-80.188,Omni,1
12,MUSEUM PARK,1191 BISCAYNE BLVD,25.78592,-80.18793,Omni,1
13,ELEVENTH STREET,1098 NE 2ND AVE,25.78487,-80.19079,Omni,1
14,PARK WEST,800 NE 2ND AVE,25.78248,-80.19064,Omni,1
15,FREEDOM TOWER,600 NE 2ND AVE,25.78054,-80.19057,Omni,1
16,RIVERWALK,88 SE 4TH ST,25.77105,-80.19256,Brickell,3
17,FIFTH STREET,35 SE 5TH ST,25.76917,-80.19225,Brickell,3
18,EIGHTH STREET,59 SE 8TH ST,25.76689,-80.19212,Brickell,3
19,TENTH STREET/PROMENADE,1011 SE 1ST AVE,25.76402,-80.19256,Brickell,3
20,BRICKELL,1200 SW 1ST AVE,25.76266,-80.19526,Brickell,3
21,FINANCIAL DISTRICT,50 SE 14TH ST,25.76038,-80.19288,Brickell,3
