OBJECTID,name,address,lat,lon,parking
1,DADELAND SOUTH,9150 DADELAND BLVD,25.685,-80.31369,1285
2,DADELAND NORTH,8300 S DIXIE HWY,25.69194,-80.30511,1963
3,SOUTH MIAMI,5949 SUNSET DR,25.70504,-80.28908,1774
4,UNIVERSITY,5400 PONCE DE LEON BLVD,25.71482,-80.27698,295
5,DOUGLAS ROAD,3060 SW 37TH CT,25.73275,-80.25487,440
6,COCONUT GROVE,2780 SW 27TH AVE,25.73981,-80.23885,199
7,VIZCAYA,3201 SW 1ST AVE,25.7497,-80.21177,91
8,BRICKELL,1001 SW 1ST AVE,25.76382,-80.19546,0
9,CIVIC CENTER,1501 NW 12TH AVE,25.78967,-80.21503,0
10,SANTA CLARA,2050 NW 12TH AVE,25.7958,-80.2152,104
11,ALLAPATTAH,3501 NW 12TH AVE,25.80869,-80.21546,66
12,EARLINGTON HEIGHTS,2100 NW 41ST ST,25.81245,-80.22995,93
13,BROWNSVILLE,5200 NW 27TH AVE,25.82207,-80.24071,428
14,"DR. MARTIN LUTHER KING, JR. PLAZA",6205 NW 27TH AVE,25.83239,-80.2412,100
15,NORTHSIDE,3150 NW 79TH ST,25.8458,-80.24878,294
16,TRI-RAIL,1125 E 25TH ST,25.84544,-80.25979,50
17,HIALEAH,125 E 21ST ST,25.84118,-80.27903,315
18,OKEECHOBEE,2005 W OKEECHOBEE RD,25.83981,-80.30157,1081
19,CULMER,701 NW 11TH ST,25.78456,-80.20754,0
20,GOVERNMENT CENTER,101 NW 1ST ST,25.77604,-80.1961,0
21,HISTORIC OVERTOWN/LYRIC THEATRE,100 NW 6TH ST,25.78099,-80.19628,35
22,PALMETTO,7701 NW 79TH AVE,25.8434,-80.32374,700
23,MIAMI INTERNATIONAL AIRPORT,3800 NW 25TH ST,25.79742,-80.25937,0
