Year,Metrobus,Metrorail,Metromover,Total
1995,61516400,14445400,4168600,80130400
1996,60466700,14245000,3847400,78559100
1997,62344200,13923700,4175200,80443100
1998,62358100,13298900,4064900,79721900
1999,64252400,13769400,4069700,82091500
2000,65689800,14023600,4256500,83969900
2001,65067100,13678000,4951800,83696900
2002,63423500,13932100,5171700,82527300
2003,65046900,14318500,6978900,86344300
2004,77909300,15987600,8686300,102583200
2005,78373000,17001000,8537500,103911500
2006,83080500,17388100,8389500,108858100
2007,84218300,17672000,8838800,110729100
2008,86409200,19075900,8723700,114208800
2009,73104900,17792100,7986100,98883100
2010,70942000,17438400,8121000,96501400
2011,76858200,18295500,9219600,104373300
