objectid,stopid,main_street,cross_street,direction,benches,lat,lon
1,189,SW 24 ST,SW 42 AV,W,1,25.749547,-80.263756
2,1659,SW 24 ST,HERNANDO ST,W,1,25.749432,-80.264988
3,1660,SW 24 ST,SEGOVIA ST,W,0,25.74924,-80.267528
4,1661,SW 24 ST,S GREENWAY,W,0,25.749017,-80.270483
5,1662,SW 24 ST,TOLEDO ST,W,0,25.748955,-80.272427
6,1663,SW 24 ST,GRANADA BD,W,1,25.748872,-80.274723
7,1664,SW 24 ST,CORDOVA ST,W,0,25.748806,-80.277426
8,1665,SW 24 ST,COLUMBUS BD,W,0,25.748756,-80.27869
9,1666,SW 24 ST,MADRID ST,W,0,25.748699,-80.281582
10,1667,SW 24 ST,N GREENWAY DR,W,0,25.748619,-80.28344
11,180,ANDALUSIA AV,LE JEUNE RD,E,1,25.7484,-80.261981
12,1668,ANDALUSIA AV,PONCE DE LEON,E,1,25.748589,-80.25829
13,1669,ANDALUSIA AV,GALIANO ST,E,1,25.748711,-80.256309
14,10218,SEVILLA AV,SW 57 AV,W,0,25.744839,-80.28697
15,1670,SEVILLA AV,ALHAMBRA CR,W,1,25.74488,-80.284541
16,1671,SEVILLA AV,ALHAMBRA CR,E,1,25.74467,-80.284877
17,1672,ANASTASIA AV,PALERMO AV,E,2,25.744352,-80.282063
18,1673,ANASTASIA AV,MALAGA AV,E,1,25.742363,-80.280911
19,1674,ANASTASIA AV,COLUMBUS BD,E,1,25.741436,-80.279377
20,1675,ANASTASIA AV,CORDOVA ST,E,0,25.741492,-80.276569
21,1676,ANASTASIA AV,GRANADA BD,E,1,25.741539,-80.274779
22,1677,ANASTASIA AV,TOLEDO ST,E,1,25.741606,-80.272766
23,1678,ANASTASIA AV,ANDERSON RD,E,0,25.741665,-80.270714
24,1679,ANASTASIA AV,SEGOVIA ST,E,1,25.74185,-80.266742
25,1680,ANASTASIA AV,SEGOVIA ST,W,1,25.741951,-80.267033
26,1681,ANASTASIA AV,ANDERSON RD,W,0,25.741768,-80.270275
27,1682,ANASTASIA AV,TOLEDO ST,W,1,25.741738,-80.272472
28,1683,ANASTASIA AV,GRANADA BD,W,0,25.74169,-80.274478
29,1684,ANASTASIA AV,CORDOVA ST,W,0,25.741596,-80.27668
30,1685,ANASTASIA AV,COLUMBUS BD,W,0,25.741553,-80.279156
31,1686,ANASTASIA AV,MALAGA AV,W,1,25.742479,-80.28085
32,1687,ANASTASIA AV,PALERMO AV,W,0,25.74385,-80.281559
33,1688,SW 40 ST,SAN AMARO DR,E,0,25.733978,-80.282456
34,1689,SW 4O ST,PINTA CT,E,0,25.73399,-80.280502
35,1690,SW 40 ST,SANTA MARIA ST,E,0,25.734116,-80.277119
36,1691,SW 40 ST,GRANADA BD,E,0,25.734243,-80.273308
37,1692,SW 40 ST,MONSERRATE ST,E,0,25.734367,-80.269431
38,1693,SW 40 ST,SEGOVIA ST,E,0,25.734488,-80.265936
39,348,SW 40 ST,SW 42 AV,E,0,25.734663,-80.261769
40,1694,SW 40 ST,PONCE DE LEON BD,W,0,25.735025,-80.258366
41,351,SW 40 ST,SALZEDO ST,W,0,25.734787,-80.262094
42,1695,SW 40 ST,SW 42 AV,W,0,25.734889,-80.262637
43,1696,SW 40 ST,SEGOVIA ST,W,0,25.734725,-80.265907
44,1697,SW 40 ST,ANDERSON RD,W,0,25.734533,-80.269903
45,1698,SW 40 ST,GRANADA BD,W,0,25.734465,-80.273263
46,1699,SW 40 ST,GOLF COURSE DRIVEWAY,W,0,25.734392,-80.275719
47,1700,SW 40 ST,MARIOLA CT W,W,0,25.734305,-80.280709
48,1701,SW 40 ST,SAN AMARO DR,W,0,25.734197,-80.282572
49,1702,SW 40 ST,ALHAMBRA CR,W,0,25.734152,-80.28477
50,1703,GRAND AV,BROOKER ST,W,0,25.727587,-80.255865
51,1704,GRAND AV,JEFFERSON DR,W,0,25.727635,-80.257948
52,1705,GRAND AV,LINCOLN DR,W,0,25.727597,-80.259251
53,1706,GRAND AV,LINCOLN DR,E,0,25.727357,-80.259769
54,1708,BLUE RD,RIVIERA DR,W,0,25.727305,-80.264405
55,1709,BLUE RD,VILABELLA AV,NW,0,25.72793,-80.267527
56,1710,BLUE RD,BILTMORE DR,SW,0,25.727186,-80.268921
57,1711,BLUE RD,GRANADA BD,W,0,25.72705,-80.27123
58,1712,BLUE RD,GRANADA BD,E,0,25.726918,-80.271542
59,1713,BLUE RD,BILTMORE DR,E,0,25.727231,-80.268637
60,1714,SUAREZ ST,RIVIERA DR,SE,0,25.726584,-80.265877
61,1715,SUAREZ ST,PONCE DE LEON BD,SE,0,25.725498,-80.264775
62,1716,MILLER RD,SW 57 AV,W,0,25.71905,-80.285343
63,1717,MILLER RD,SAN AMARO DR,W,0,25.719147,-80.282451
64,1718,MILLER RD,SAN AMARO DR,E,0,25.719049,-80.282399
65,1719,MILLER RD,SW 57 AV,E,0,25.718907,-80.285319
66,1343,BISCAYNE BD,# 21280,S,1,25.972496,-80.143095
67,1344,BISCAYNE BD,NE 211 ST,SW,1,25.970611,-80.143966
68,32,BISCAYNE BD,NE 209 ST,S,1,25.969326,-80.144565
69,1345,BISCAYNE BD,NE 207 ST,S,0,25.968065,-80.145145
70,1346,BISCAYNE BD,NE 206 ST,SW,0,25.967581,-80.14539
71,1347,BISCAYNE BD,NE 195 ST,S,0,25.95719,-80.14707
72,1348,BISCAYNE BD,NE 191 ST,S,0,25.952237,-80.146908
73,1349,BISCAYNE BD,# 19000,S,1,25.95045,-80.146853
74,742,BISCAYNE BD,NE 186 ST,S,0,25.946904,-80.147337
75,1350,BISCAYNE BD,NE 183 ST,S,0,25.945729,-80.147688
76,1351,BISCAYNE BD,NE 180 ST,S,0,25.942917,-80.148561
77,1352,BISCAYNE BD,NE 178 ST,SW,0,25.940055,-80.149465
78,1353,BISCAYNE BD,NE 178 ST(POINT EAST,N,1,25.939637,-80.149175
79,1354,BISCAYNE BD,NE 180 ST,N,1,25.941645,-80.148554
80,743,BISCAYNE BD,NE 182 ST,N,1,25.943288,-80.148043
81,1355,BISCAYNE BD,NE 183 ST,N,1,25.945736,-80.147253
82,1356,BISCAYNE BB,NE 186 ST,N,1,25.946881,-80.146902
83,1357,BISCAYNE BD,NE 187 ST,N,1,25.948973,-80.146536
84,1358,BISCAYNE BD,# 18999,N,1,25.950605,-80.146486
85,1359,BISCAYNE BD,NE 191 ST,N,0,25.952631,-80.146551
86,1360,BISCAYNE BLVD,NE 207 ST,N,0,25.968042,-80.144786
87,49,BISCAYNE BD,NE 209 ST,NE,1,25.968846,-80.14443
88,1361,BISCAYNE BD,NE 211 ST,N,1,25.971223,-80.143333
89,1362,BISCAYNE BD,NE 213 ST,N,1,25.973556,-80.142346
90,1363,NE 29 PL,AVENTURA BLVD,N,2,25.960068,-80.141831
91,1364,NE 29 PL,AVENTURA BD,N,2,25.961789,-80.141784
92,1365,NE 29 PL,NE 203 ST,S,1,25.963251,-80.142025
93,1366,NE 29 PL,AVENTURA BD,S,2,25.961624,-80.141973
94,1367,NE 29 PL,AVENTURA BD,S,1,25.960462,-80.142067
95,1368,W COUNTRY CLUB DR,AVENTURA BLVD,S,1,25.960673,-80.13972
96,1369,W COUNTRY CLUB DR,AVENTURA MALL ENT,S,1,25.956259,-80.13933
97,9456,W COUNTRY CLUB DR,OP #19333,S,0,25.954735,-80.138907
98,48,E COUNTRY CLUB DR,YACHT CLUB WY,N,0,25.956407,-80.130295
99,1370,E COUNTRY CLUB DR,THE YACHT CLUB,N,1,25.958394,-80.130063
100,1371,E COUNTRY CLUB DR,NE 37 AV,N,0,25.959968,-80.128826
101,1372,E COUNTRY CLUB DR,# 20191,N,0,25.963909,-80.126369
102,1373,N COUNTRY CLUB DR,# 3675,W,0,25.966121,-80.128631
103,1374,N COUNTRY CLUB DR,NE 34 AV,W,0,25.966414,-80.13306
104,1375,N COUNTRY CLUB DR,# 3375 (BONAVISTA),W,0,25.966713,-80.13523
105,1376,W COUNTRY CLUB DR,# 20500 (BISCAYNE),SW,0,25.966256,-80.138734
106,1377,W COUNTRY CLUB DR,20300 (VILLA DORADA),S,0,25.964148,-80.139862
107,1378,W COUNTRY CLUB DR,# 19501,N,1,25.955579,-80.13884
108,1379,W COUNTRY CLUB DR,AVENTURA MALL RD,N,1,25.95741,-80.139251
109,1380,W COUNTRY CLUB DR,TURNBERRY ISLE RESOR,N,1,25.959931,-80.139348
110,1381,NE 192 ST(LEHMAN CY),# 3300(NE 191 ST),E,1,25.953757,-80.136289
111,1382,NE 192 ST(LEHMAN CY),# 3350 (SERVICE RD),E,1,25.954549,-80.133266
112,1383,AVENTURA BD,#2740 (BANK),E,1,25.959908,-80.145418
113,1384,AVENTURA BD,# 2900(FIRE STATION),NE,1,25.960876,-80.143117
114,1385,AVENTURA BD,NE 29 PL,E,2,25.961319,-80.141399
115,1386,AVENTURA BD,199st,W,1,25.961729,-80.140647
116,1387,AVENTURA BD,NE 29 PL,W,0,25.96124,-80.142804
117,1388,AVENTURA BD,# 2845,W,1,25.960564,-80.144469
118,1389,AVENTURA BD,BISCAYNE BD,W,0,25.959995,-80.146523
119,1390,NE 203 ST,NE 29 CT,W,0,25.963744,-80.143466
120,34,PARKING LOT,,T,13,25.958104,-80.143242
121,823,,,,0,25.773099,-80.187323
122,808,,,,0,25.773099,-80.187323
123,841,,,,0,25.773099,-80.187323
124,810,,,,0,25.777584,-80.189915
125,839,,,,0,25.777584,-80.189915
126,797,,,,0,25.785918,-80.187934
127,829,,,,0,25.785918,-80.187934
128,1402,THREE ISLAND BD,HALLANDALE BEACH BD,N,0,25.986736,-80.126129
129,1403,S FEDERAL HY,SE 9 ST,N,1,25.976965,-80.141852
130,1404,S FEDERAL HY,SE 7 ST,N,1,25.979051,-80.141894
131,1405,S FEDERAL HY,SE 3 ST,N,1,25.982331,-80.141999
132,1406,S FEDERAL HY,HALLANDALE BEACH BD,N,2,25.984286,-80.142108
133,1407,S FEDERAL HY,HALLANDALE BEACH BD,S,1,25.984953,-80.142579
134,1408,S FEDERAL HY,SE 3 ST,S,1,25.982182,-80.142402
135,1409,S FEDERAL HY,SE 3 ST,S,0,25.981353,-80.142396
136,1410,S FEDERAL HY,SE 7 ST,S,1,25.978766,-80.142309
137,1411,S FEDERAL HY,SE 9 ST,S,0,25.975225,-80.14236
138,1413,NW 215 ST,SW 58 AV,W,0,25.972997,-80.201357
139,1414,NW 215 ST,SW 59 TE,W,1,25.972877,-80.204831
140,577,NW 215 ST,US 441,W,0,25.972754,-80.206896
141,1415,NW 215 ST,SW 62 AV,W,0,25.972595,-80.210906
142,1416,NW 215 ST,NW 12 AV,W,0,25.972403,-80.219381
143,1417,NW 215 ST,SW 68 LN,W,0,25.972466,-80.225547
144,1418,NW 215 ST,1700 BLK,W,0,25.972132,-80.23487
145,9859,NW 215 ST,TPK TOLL PLAZA,W,0,25.972038,-80.239142
146,1419,NW 215 ST,NW 27 AV,W,0,25.971917,-80.24388
147,1421,HALLANDALE BEACH BD,THREE ISLANDS BD,W,0,25.98629,-80.126759
148,1422,HALLANDALE BEACH BD,LAYNE BD,W,0,25.986165,-80.12987
149,1423,HALLANDALE BEACH BD,LAYNE BD,W,2,25.986129,-80.130992
150,1424,HALLANDALE BEACH BD,#1515 (WINN-DIXIE),W,0,25.986031,-80.133189
151,31,HALLANDALE BEACH BD,NE 14 AV,W,0,25.986013,-80.133876
152,1425,HALLANDALE BEACH BD,NE 12 AV,W,0,25.98593,-80.137112
153,1426,HALLANDALE BEACH BD,NE 10 AV,W,1,25.985894,-80.139061
154,1427,HALLANDALE BEACH BD,S FEDERAL HY,E,0,25.985465,-80.141926
155,1428,HALLANDALE BEACH BD,SE 8 AV,E,1,25.985504,-80.139968
156,1429,HALLANDALE BEACH BD,SE 10 AV,E,1,25.985546,-80.137939
157,1430,HALLANDALE BEACH BD,SE 14 AV,E,1,25.985642,-80.133595
158,1431,HALLANDALE BEACH BD,SE 16 AV,E,1,25.985718,-80.132044
159,1432,HALLANDALE BEACH BD,LAYNE BD,E,0,25.985777,-80.130467
160,1433,HALLANDALE BEACH BD,DIPLOMAT PY,E,1,25.985884,-80.127173
161,1159,,,W,3,25.987516,-80.123481
162,1435,COLLINS AV,# 9701,N,2,25.889446,-80.123776
163,1436,COLLINS AV,# 10101,N,0,25.89236,-80.123995
164,1437,COLLINS AV,# 10185,N,0,25.894365,-80.124126
165,1438,COLLINS AV,# 10225,N,2,25.896435,-80.124259
166,1439,COLLINS AV,HARBOUR WY E,S,0,25.895075,-80.124471
167,1440,COLLINS AV,# 9930,S,0,25.891993,-80.124282
168,662,COLLINS AV,# 9700 (BAL HARBOUR),S,3,25.888006,-80.123886
169,1441,96 ST,ABBOTT AV,W,0,25.887115,-80.124401
170,1442,96 ST,BAL BAY DR,W,0,25.887027,-80.126575
171,1443,96 ST,BAY HARBOR TE,W,2,25.886856,-80.131102
172,1444,96 ST,W BAY HARBOR DR,W,3,25.886765,-80.13297
173,1445,96 ST,E BROADVIEW DR,W,1,25.886663,-80.13499
174,1446,96 ST,BROADVIEW TE,W,0,25.886554,-80.137509
175,1448,96 ST,E BROADVIEW DR,E,1,25.886469,-80.135073
176,1449,96 ST,BAY HARBOR TE,E,2,25.886588,-80.131399
177,1450,96 ST,E BAY HARBOR DR,E,2,25.886683,-80.129489
178,1451,NE 6 AV,NE 121 ST,S,1,25.886451,-80.186377
179,1452,NE 6 AV,NE 119 ST,S,0,25.884529,-80.186299
180,1453,NE 6 AV,NE 117 ST,S,0,25.882522,-80.186211
181,1454,NE 6 AV,NE 115 ST,S,0,25.880642,-80.186121
182,1455,NE 6 AV,NE 113 ST,SE,1,25.879296,-80.185715
183,1456,NE 6 AV,NE 114 ST,NW,0,25.879779,-80.185803
184,1457,NE 6 AV,NE 115 ST,N,0,25.881322,-80.185985
185,1458,NE 6 AV,NE 117 ST,N,0,25.88277,-80.186054
186,1459,NE 6 AV,NE 119 ST,N,0,25.884492,-80.186134
187,820,,,,0,25.762664,-80.195261
188,802,,,,0,25.762664,-80.195261
189,80,,,,0,25.76382,-80.195462
190,79,,,,0,25.773633,-80.193643
191,1460,SW 37 AV,FONSECA AV,S,0,25.76855,-80.255421
192,1461,SW 37 AV,MONTILLA AV,S,0,25.766445,-80.255325
193,1462,SW 37 AV,SW 8 ST,S,2,25.764345,-80.255217
194,1463,SW 37 AV,SANTILLANE AV,S,0,25.761796,-80.25513
195,1464,SW 37 AV,SIDONIA AV,S,0,25.759736,-80.255046
196,1465,SW 37 AV,MENORES AV,S,0,25.757944,-80.255013
197,1466,SW 37 AV,ALHAMBRA CR,S,1,25.755079,-80.254869
198,1467,SW 37 AV,MINORCA AV,S,0,25.753065,-80.254818
199,1468,SW 37 AV,GIRALDA AV,S,0,25.751307,-80.25474
200,304,SW 37 AV,CORAL WAY,S,2,25.749457,-80.254667
201,1469,SW 37 AV,SEVILLA AV,S,1,25.746708,-80.254549
202,1470,SW 37 AV,MALAGA AV,S,0,25.745161,-80.254499
203,1471,SW 37 AV,COCONUT GROVE DR,S,0,25.743233,-80.25444
204,9860,SW 37 AV,N PROSPECT RD,N,0,25.709178,-80.252747
205,1473,MERRICK WY,ARAGON AV,N,1,25.750508,-80.255245
206,1495,PONCE DE LEON BD,BLUE RD,SW,1,25.727459,-80.26205
207,1496,PONCE DE LEON BD,STANFORD DR,S,0,25.717822,-80.273937
208,375,PONCE DE LEON BD,MERRICK ST,S,1,25.715539,-80.276754
209,1497,PONCE DE LEON BD,DICKENSON DR,S,0,25.713298,-80.279498
210,1498,PONCE DE LEON BD,S ALHAMBRA CR,S,0,25.712322,-80.280722
211,1499,PONCE DE LEON BD,SAN AMARO DR,S,0,25.710842,-80.28251
212,1502,PONCE DE LEON BD,SAN AMARO DR,N,0,25.710784,-80.282244
213,1503,PONCE DE LEON BD,S ALHAMBRA CR,N,0,25.712213,-80.280531
214,1504,PONCE DE LEON BD,DICKINSON DR,N,0,25.71328,-80.279227
215,1505,PONCE DE LEON BD,MERRICK ST,N,0,25.716136,-80.275699
216,1506,PONCE DE LEON BD,STANFORD DR,N,0,25.717326,-80.274246
217,1526,SW 42 AV,MADEIRA AV,S,0,25.755779,-80.263034
218,1527,SW 42 AV,NAVARRE AV,S,0,25.754229,-80.262987
219,1528,SW 42 AV,GIRALDA AV,S,0,25.751212,-80.262887
220,347,SW 42 AV,CORAL WY,S,2,25.749606,-80.262854
221,1529,SW 42 AV,ANDALUSIA AV,S,2,25.748139,-80.262775
222,1530,SW 42 AV,ALMERIA AV,S,0,25.74684,-80.262723
223,1531,SW 42 AV,SEVILLA AV,S,0,25.745391,-80.26266
224,1532,SW 42 AV,MALAGA AV,S,0,25.743756,-80.26259
225,1533,SW 42 AV,UNIVERSITY DR,S,0,25.742255,-80.262528
226,1534,SW 42 AV,CAMILO AV,S,0,25.740362,-80.262449
227,1535,SW 42 AV,ALEDO AV,S,0,25.739269,-80.262402
228,1536,SW 42 AV,FLUVIA AV,S,0,25.737325,-80.262316
229,1537,SW 42 AV,VELARDE AV,S,0,25.735766,-80.262257
230,1538,SW 42 AV,SW 4O ST,S,0,25.733992,-80.262172
231,1539,SW 42 AV,SAN LORENZO AV,S,0,25.731901,-80.262059
232,1540,SW 42 AV,VILABELLA AV,S,0,25.729332,-80.261926
233,1541,SW 42 AV,MENENDEZ AV,S,0,25.725349,-80.261676
234,1542,SW 42 AV,AMALFI AV,S,0,25.723368,-80.261595
235,1543,SW 42 AV,BIANCA AV,S,0,25.721677,-80.261529
236,1544,SW 42 AV,MILLER RD,S,0,25.720054,-80.261427
237,1545,SW 42 AV,BARGELLO AV,S,0,25.717936,-80.261354
238,1546,SW 42 AV,MARMORE AV,S,0,25.715353,-80.261302
239,1547,SW 42 AV,SAVONA AV,S,0,25.714307,-80.261239
240,1548,SW 42 AV,HARDEE RD,S,0,25.71292,-80.261162
241,1549,SW 42 AV,US 1,N,0,25.726026,-80.261582
242,1550,SW 42 AV,GRANELLO AV,N,1,25.728959,-80.261693
243,1551,SW 42 AV,SAN LORENZO AV,N,0,25.731973,-80.261807
244,1552,SW 42 AV,SW 40 ST,N,0,25.734221,-80.261965
245,1553,SW 42 AV,CANDIA AV,N,2,25.735987,-80.262042
246,1554,SW 42 AV,VISCAYA AV,N,0,25.737451,-80.262105
247,1555,SW 42 AV,CADIMA AV,N,0,25.738784,-80.262165
