Country,Year,Measles
Metrobus,Year 2011,76858200
Metrobus,Year 2010,70942000
Metrobus,Year 2009,73104900
Metrobus,Year 2008,86409200
Metrobus,Year 2007,84218300
Metrobus,Year 2006,83080500
Metrobus,Year 2005,78373000
Metrobus,Year 2004,77909300
Metrobus,Year 2003,65046900
Metrobus,Year 2002,63423500
Metrobus,Year 2001,65067100
Metrobus,Year 2000,65689800
Metrobus,Year 1999,64252400
Metrobus,Year 1998,62358100
Metrorail,Year 2011,18295500
Metrorail,Year 2010,17438400
Metrorail,Year 2009,17792100
Metrorail,Year 2008,19075900
Metrorail,Year 2007,17672000
Metrorail,Year 2006,17388100
Metrorail,Year 2005,17001000
Metrorail,Year 2004,15987600
Metrorail,Year 2003,14318500
Metrorail,Year 2002,13932100
Metrorail,Year 2001,13678000
Metrorail,Year 2000,14023600
Metrorail,Year 1999,13769400
Metrorail,Year 1998,13298900
Metromover,Year 2011,9219600
Metromover,Year 2010,8121000
Metromover,Year 2009,7986100
Metromover,Year 2008,8723700
Metromover,Year 2007,8838800
Metromover,Year 2006,8389500
Metromover,Year 2005,8537500
Metromover,Year 2004,8686300
Metromover,Year 2003,6978900
Metromover,Year 2002,5171700
Metromover,Year 2001,4951800
Metromover,Year 2000,4256500
Metromover,Year 1999,4069700
Metromover,Year 1998,4064900
Total,Year 2011,104373300
Total,Year 2010,96501400
Total,Year 2009,98883100
Total,Year 2008,114208800
Total,Year 2007,110729100
Total,Year 2006,108858100
Total,Year 2005,103911500
Total,Year 2004,102583200
Total,Year 2003,86344300
Total,Year 2002,82527300
Total,Year 2001,83696900
Total,Year 2000,83969900
Total,Year 1999,82091500
Total,Year 1998,79721900
