busRoute,2009,2010,2011,2012,2013,2014,2015
Route 1,38036,21052,16228,16118,16810,17726,14286
Route 2,82605,87145,86920,95849,90315,83549,74691
Route 3,217512,236274,248160,250621,251691,247661,220951
Route 6,20642,23152,23162,24502,25182,23118,22762
Route 7,114632,119650,124536,130576,133955,121746,114259
Route 8,203073,211277,202889,216297,222473,213830,187876
Route 9,158955,189985,187895,201907,202714,175373,175553
Route 10,64447,79275,78770,83727,87575,80264,76055
Route 11,326759,347441,338316,361189,373200,361735,308554
Route 12,99967,78013,76405,77915,79520,68183,71735
Route 16,106452,,86449,89663,91251,87292,77327
Route 17,125888,,131904,144194,146514,140567,129737
Route 21,48775,,46933,58670,57966,53936,49662
Route 22,115228,,130375,141745,,133048,134053
Route 24,90254,,88683,95482,148403,74624,66844
Route 27,251374,,278873,290794,,275026,247752
Route 29,18274,,20087,21406,25705,21143,20332
Route 31-Busway Local,37142,20362,52439,54465,57687,57229,51459
Route 32,94363,,97968,112615,96049,90631,80264
Route 33,51645,,53901,57669,62649,59430,54005
Route 34- Busway Flyer,35632,,36830,41075,45757,45308,38387
Route 35,72104,,76419,87114,92585,81116,66494
Route 36,66655,76356,77449,92854,83612,90805,78967
Route 37,111139,,120116,119830,127087,123370,111932
Route 38-Busway Max,194702,,213762,228810,237891,233388,206773
Route 40,51269,,57953,63530,67855,66767,58786
Route 42,31671,59184,55302,45584,50308,47650,36164
Route 46-Liberty City Connection,3718,53780,2596,2727,2989,1472,982
Route 48,8867,,8095,8236,7809,6712,6154
Route 51-Flagler Max,75479,,77244,86933,88347,91934,76000
Route 52,46817,,48796,54671,56007,50873,43052
Route 54,91829,,100821,103695,112347,116090,95425
Route 56,17613,,17184,18788,17915,17224,14701
Route 57,14823,,15261,15208,15014,14212,11550
Route 62,116778,,97459,100441,98645,91493,91677
Route 70,40286,,43126,46342,46536,46926,37586
Route 71,31261,,33189,38095,37774,33273,25027
Route 72,27085,,29169,30383,31527,30374,26396
Route 73,59006,,72050,72597,74182,70820,67919
Route 75,75730,,57789,63668,62894,56540,46280
Route 77,243296,,269377,300525,303603,290692,269070
Route 79,7485,,9848,12899,12016,13777,14457
Route 87,47297,,46470,55690,56188,54925,43396
Route 88,72957,,71589,69753,74458,77785,73030
Route 93- Biscayne Max,74830,78751,86739,98438,98386,97980,91093
Route 95- Express,40691,45086,47552,58583,56484,55135,49938
Route 99,22197,50262,55596,61437,64920,61630,52686
Route A,15729,14318,15540,17569,19635,3933,2049
Route B,47249,49858,50042,50362,51784,47162,49520
Route C,120863,104643,103828,107656,110057,112142,103880
Route 104,33409,37400,35966,44097,46699,40961,33049
Route E,35286,44132,45519,47310,50931,48551,42835
Route G,87495,57217,57170,59557,59757,56751,56003
Route H,124949,58956,61025,62257,61756,57819,49936
Route J,136473,84081,90357,94267,98741,96083,84665
Route L,275986,,,324502,325506,318066,270042
Route M,28319,28260,25493,28324,26488,27996,27933
Route S,354486,388260,399131,410963,408142,374725,341151
Route 120- South Beach Max,,195957,212825,231165,244624,234311,210284
Route 123- South Beach Local,41041,132120,129443,120127,114037,101914,93202
Route 132- Tri-Rail Doral,545,501,770,1218,1393,1115,1583
Route 133- Tri-Rail Airport,9272,14926,2948,28421,18204,,
Route 136,4554,8129,8211,8126,9256,7771,7071
Route 137- West Dade Connection,52638,57157,57758,61046,68154,65410,55323
Route 183- 183rd Street Max,28071,108273,115176,,130337,122120,106048
Route 202- Little Haiti Connection,14812,6920,6772,6032,6103,6465,6246
Route 204- Kat-Killian,29694,32625,31114,33034,34006,31686,26074
Route 207- Little Havana Circle (7st),48384,40747,36453,41050,41979,37386,39951
Route 208- Little Havana Circle (8st),47480,38651,52054,62800,57709,60585,45364
Route 211- Overtown Circle,4130,5101,4519,4113,3857,3544,2623
Route 212- Sweetwater Connection,6525,2087,2257,2926,2290,2245,1205
Route 238- East/West Connection,12455,12123,12143,12557,13488,15500,11676
Route 243- Seaport Connection,1842,1320,1761,2164,1652,,
Route 246- Night Owl,2165,2415,2434,3173,3057,2934,3234
Route 249- Coconut Grove,37695,39633,41970,40461,39355,38861,34951
Route 252- Coral Reef,28177,28358,28973,32099,33980,30419,26908
Route 254- Brownsville Circle,1029,,1101,1216,1084,849,750
Route 267- Ludlam Max,7545,,,3833,3647,3753,2916
Route 272- Kat-Sunset,17567,16058,15398,15531,17002,15425,13640
Route 277- 7th Avenue Max,22945,22896,25625,29489,26681,23089,20507
Route 287- Saga Bay,10360,9468,9750,10424,,10402,8807
Route 344,3031,3732,3605,4609,4428,3939,2405
Route 500,1485,1535,2144,2501,2042,2109,2100
